title,date_str,siteName,sentiment,pageUrl,author
EU bank seeks pledges of more than 2 billion euros for Ukraine this year,d2023-03-02T00:00,euronews,0.0,https://www.euronews.com/next/2023/02/03/ukraine-crisis-eu-eib,Reuters
Brawl in Vilnius after flowers placed on destroyed Russian tank,d2023-02-28T18:50,euronews,-0.741,https://www.euronews.com/2023/02/28/brawl-in-vilnius-after-flowers-place-on-destroyed-russian-tank,Joshua Askew
"Brussels, my love? The EU and Ukraine after a year of war",d2023-02-25T07:01,euronews,0.0,https://www.euronews.com/my-europe/2023/02/25/brussels-my-love-the-eu-and-ukraine-after-a-year-of-war,Méabh Mc Mahon
Bird flu death in Cambodia: How worried should we be about H5N1 spilling over into humans?,d2023-02-24T11:59,euronews,-0.32,https://www.euronews.com/next/2023/02/24/a-devastating-bird-flu-is-sweeping-the-world-but-is-it-a-threat-to-humans,Giulia Carbonaro with AP
"Culture Re-View: One year ago, Russia invaded Ukraine",d2023-02-24T07:00,euronews,-0.205,https://www.euronews.com/culture/2023/02/24/culture-re-view-one-year-ago-russia-invaded-ukraine,Jonny Walfisz
Romania's old power infrastructure doesn't help fight carbon emissions,d2023-02-20T16:02,euronews,-0.391,https://www.euronews.com/2023/02/20/romanias-old-power-infrastructure-doesnt-help-fight-carbon-emissions,Euronews
Ukraine tops agenda as EU foreign affairs ministers meet in Brussels,d2023-02-20T14:03,euronews,-0.449,https://www.euronews.com/2023/02/20/ukraine-tops-agenda-as-eu-foreign-affairs-ministers-meet-in-brussels,Euronews with EBU
Ukrainian soldiers hold firm despite fears of intensified fighting,d2023-02-19T17:00,euronews,-0.577,https://www.euronews.com/2023/02/19/ukrainian-soldiers-hold-firm-despite-fears-of-intensified-fighting,Euronews with AP
Munich Security Conference: Allies call for military aid to Ukraine to be stepped up,d2023-02-18T17:42,euronews,0.0,https://www.euronews.com/2023/02/18/munich-security-conference-allies-call-for-military-aid-to-ukraine-to-be-stepped-up,Euronews with AP & EBU
Georgia becomes a hub for anti-war Russians,d2023-02-18T16:57,euronews,-0.178,https://www.euronews.com/2023/02/18/georgia-becomes-a-hub-for-anti-war-russians,Giorgi Bolkvadze
Sean Penn's Ukraine documentary 'Superpower' premieres at Berlin International Film Festival,d2023-02-18T12:51,euronews,0.326,https://www.euronews.com/2023/02/18/sean-penns-ukraine-documentary-superpower-premieres-at-berlin-international-film-festival,Mark Armstrong with AP
State of the Union: What were the top stories in the EU this week?,d2023-02-18T09:09,euronews,-0.365,https://www.euronews.com/my-europe/2023/02/17/state-of-the-union-what-were-the-top-stories-in-the-eu-this-week,Stefan Grobe
