title,date_str,siteName,sentiment,pageUrl,author
"War fatigue, Europe inflation hit Ukraine aid response",d2022-07-10T10:34,KyivPost,-0.193,https://www.kyivpost.com/post/2332,AFP
UNHCR: 12-13 mln people are refugees due to Russia’s war on Ukraine,d2022-07-09T18:59,KyivPost,-0.337,https://www.kyivpost.com/post/7414,UkrInform
New War Exhibition In Kyiv Compares Putin to Hitler,d2022-07-09T12:35,KyivPost,0.44,https://www.kyivpost.com/post/6899,Aleksandra Klitina
"Inspired by Ukraine, civilians study urban warfare in Taiwan",d2022-07-08T11:09,KyivPost,0.0,https://www.kyivpost.com/world/inspired-by-ukraine-civilians-study-urban-warfare-in-taiwan.html,AFP
"ICU Weekly Insight, July 4, 2022 – Public debt rose significantly in May",d2022-07-07T16:36,KyivPost,0.0,https://www.kyivpost.com/ukraine-politics/icu-weekly-insight-monday-july-4-2022-public-debt-rose-significantly-in-may.html,Kyiv Post
READ: Zelensky’s Important Address – July 6,d2022-07-07T14:05,KyivPost,0.0,https://www.kyivpost.com/post/7026,Kyiv Post
Colorful national fundraiser for Ukraine held in England’s Midlands,d2022-07-06T12:34,KyivPost,0.322,https://www.kyivpost.com/post/6744,Tony Leliw
Ukraine’s Defenders (12) – Hunting for “Nazis” in Ukraine’s Azov Regiment,d2022-07-05T13:33,KyivPost,-0.311,http://kyivpost.com/russias-war/ukraines-defenders-12-hunting-for-nazis-in-ukraines-azov-regiment.html,Stefan Korshak
EU chief urges Ukraine to speed anti-corruption reform,d2022-07-04T12:06,KyivPost,0.155,https://www.kyivpost.com/world/eu-chief-urges-ukraine-to-speed-anti-corruption-reform.html,AFP
OPINION: How the War in Ukraine Nullifies the Global Sustainable Development Goals,d2022-07-01T12:53,KyivPost,-0.184,https://www.kyivpost.com/opinion/2397,Maryna Grytsenko
"Russia’s war against Ukraine: Day 127, June 30 – Update 1",d2022-06-30T15:46,KyivPost,0.0,https://www.kyivpost.com/post/6789,AFP
Images Show Captured Ukrainian Troops Returning Home – Many Injured,d2022-06-30T13:03,KyivPost,0.0,https://www.kyivpost.com/post/2402,Aleksandra Klitina
Sean Penn came back to Ukraine for documentary,d2022-06-30T11:04,KyivPost,0.0,https://www.kyivpost.com/post/6865,Aleksandra Klitina
Rinat Akhmetov suing Russia,d2022-06-27T18:05,KyivPost,-0.751,https://www.kyivpost.com/russias-war/rinat-akhmetov-suing-russia.html,Aleksandra Klitina
"Ukrainians vote to change names of Russian-themed streets, squares",d2022-06-27T17:34,KyivPost,0.211,https://www.kyivpost.com/ukraine-politics/ukrainians-vote-to-change-names-of-russian-themed-streets-squares.html,Iryna Pavlenko
The Dark Underbelly of Ukrainophobia,d2022-06-26T13:07,KyivPost,-0.296,https://www.kyivpost.com/article/opinion/op-ed/the-dark-underbelly-of-ukrainophobia.html,Askold S. Lozynskyj
Ukraine’s economy: What’s it lost and what does it still have?,d2022-06-25T10:51,KyivPost,-0.468,https://www.kyivpost.com/ukraine-politics/ukraines-economy-whats-it-lost-and-what-does-it-still-have.html,John Marone
"ISW Russian Offensive Campaign Assessment, June 24",d2022-06-25T10:39,KyivPost,-0.3,https://www.kyivpost.com/post/2438,Bohdan Nahaylo
